Sport	State	CaptureDevice	Lat	Lon	DateTaken
hockey	Oklahoma	canon	36.152611	-95.995026	1261257184000
running	Hawaii	canon	19.435109	-155.231237	1376733061000
basketball	Ohio	nikon	39.999487	-83.018746	1260009108000
running	Maine	other	43.897876	-70.176115	1213523619000
basketball	Arkansas	canon	35.247285	-91.72422	1299191792000
hockey	Oklahoma	other	36.070825	-95.867643	1263160625000
hockey	Washington	nikon	47.595239	-122.331712	1303598933000
hockey	Minnesota	nikon	44.984463	-93.273818	1306440313000
running	California	other	37.766999	-122.42	1367493123000
baseball	Ohio	other	41.038879	-83.651313	1324285169000
baseball	Iowa	nikon	42.003333	-93.5995	1338830879000
basketball	Arkansas	nikon	35.308515	-93.917489	1295382579000
basketball	California	nikon	32.841555	-116.705124	1224289928000
basketball	Arkansas	nikon	33.09901	-93.656172	1362253286000
hockey	California	nikon	33.807917	-117.876498	1297888665000
running	Virginia	canon	38.856502	-77.049393	1367003101000
hockey	Oklahoma	other	36.070825	-95.867643	1263023671000
baseball	Arkansas	canon	34.877274	-91.200406	1318621062000
baseball	Pennsylvania	canon	40.287448	-76.671137	1292705861000
hockey	Oklahoma	nikon	35.625122	-97.835655	1174086112000
cycling	Michigan	nikon	42.338308	-82.995872	1338725143000
baseball	NewYork	other	40.57457	-73.98439	1247943534000
golf	Pennsylvania	sony	40.101989	-75.459616	1218543216000
baseball	Indiana	other	39.799502	-86.238212	1119037787000
football	Kansas	canon	38.973289	-95.237731	1296407151000
golf	California	nikon	34.043172	-118.268836	1195997796000
baseball	Washington	sony	47.69241	-122.195724	1211308882000
soccer	NorthCarolina	apple	35.778167	-78.84317	1225992653000
baseball	Arkansas	other	35.774049	-91.62692	1303224817000
running	California	sony	37.794999	-122.394667	1361112269000
baseball	Pennsylvania	canon	40.064999	-75.208674	1367154662000
running	Colorado	nikon	39.142572	-104.310325	1316862493000
running	DistrictofColumbia	canon	38.89175	-77.02285	1363523141000
baseball	California	panasonic	37.7866	-122.395	1363550330000
baseball	Illinois	sony	41.952572	-87.643679	1309083497000
baseball	NewYork	canon	40.757133	-73.844706	1238927372000
basketball	California	canon	33.996604	-118.327788	1323963355000
golf	NorthCarolina	canon	35.190585	-79.44682	1273566222000
golf	Colorado	canon	39.539825	-104.899757	1339868598000
baseball	Washington	sony	47.69241	-122.195724	1211306008000
basketball	NewYork	canon	40.819341	-73.951034	1258747641000
soccer	Maryland	nikon	39.090816	-77.407886	1206824131000
basketball	Massachusetts	sony	42.106666	-71.653667	1296921014000
cycling	Florida	canon	30.447711	-84.262593	1168706092000
golf	California	canon	34.011008	-118.49721	1277041813000
baseball	Michigan	other	42.341853	-85.150501	1052846711000
basketball	Massachusetts	canon	42.359243	-71.049313	1120399356000
running	DistrictofColumbia	canon	38.897779	-77.05141	1365337929000
football	Georgia	canon	32.62696	-83.62806	1199811832000
baseball	Missouri	other	38.624615	-90.193011	1059226048000
soccer	RhodeIsland	canon	41.55487	-71.252775	1335091600000
baseball	Michigan	other	43.04058	-85.659542	1118782491000
golf	Illinois	nikon	41.872085	-87.622017	1370161231000
basketball	California	other	34.043292	-118.267264	1103977483000
running	Maine	sony	43.657129	-70.259767	1339848797000
running	Massachusetts	other	42.355161	-71.063553	1335015542000
baseball	Illinois	canon	41.934653	-87.828944	1145380419000
baseball	California	canon	34.043983	-118.268938	1295550551000
basketball	California	other	37.909533	-122.358362	1347668027000
running	Illinois	canon	42.188759	-87.851561	1191344724000
football	Washington	canon	47.204333	-121.9915	1274544956000
baseball	Arkansas	canon	34.560753	-92.589898	1180032398000
running	NewYork	canon	40.754173	-73.984385	1278875240000
soccer	Vermont	nikon	44.370925	-73.23409	1311482594000
running	Minnesota	nikon	44.982013	-93.269224	1309085987000
running	Maine	nikon	43.921159	-69.976295	1365249341000
basketball	Arkansas	other	35.776225	-91.625247	1387042488000
baseball	NewJersey	canon	39.793245	-74.722073	1319294964000
basketball	NewYork	other	40.757091	-74.001851	1215766793000
football	SouthCarolina	sony	32.856283	-79.920859	1255722532000
running	California	canon	37.771935	-122.442369	1148197101000
soccer	California	nikon	34.423009	-119.719691	1082820691000
football	NewYork	canon	43.11729	-77.511398	1241355341000
running	Washington	nikon	47.6215	-122.350667	1345829967000
basketball	Pennsylvania	canon	41.581825	-75.387201	1266160341000
football	Arkansas	canon	34.811624	-92.465229	1287171178000
hockey	Oklahoma	canon	36.152611	-95.995026	1235854908000
cycling	Mississippi	other	34.934998	-88.519082	1116715266000
baseball	Michigan	sony	41.821806	-83.872139	1220702845000
football	Minnesota	canon	44.968395	-93.165392	1223132187000
running	California	canon	33.200095	-116.649073	1312481938000
cycling	Missouri	nikon	38.693683	-93.244571	1252682002000
soccer	Illinois	nikon	42.186332	-89.020614	1213463884000
basketball	California	canon	33.996683	-118.327759	1362599976000
baseball	Michigan	nikon	42.734942	-84.545706	1119991530000
golf	California	other	34.07399	-118.23982	1342298305000
basketball	Louisiana	other	29.95921	-90.065392	1127951234000
basketball	Florida	nikon	25.790617	-80.190324	1176315439000
football	Tennessee	nikon	36.198901	-86.804051	1250625598000
baseball	Michigan	nikon	42.734601	-84.546318	1208541009000
basketball	Virginia	apple	37.552955	-77.452898	1389298909000
baseball	Arizona	canon	33.598347	-112.103853	1289597583000
basketball	Missouri	other	38.932533	-92.333512	1357672818000
baseball	Washington	sony	47.69241	-122.195724	1209808348000
cycling	Arkansas	nikon	36.273687	-93.966064	1338713130000
basketball	California	canon	38.576355	-121.492438	1286013642000
baseball	Illinois	canon	41.974957	-87.705316	1220133512000
baseball	Arkansas	canon	35.334016	-92.069453	1287775941000
cycling	California	nikon	37.234	-121.7415	1368800023000
hockey	NewHampshire	canon	43.028117	-70.729637	1345657404000
cycling	Pennsylvania	apple	40.441166	-79.989	1253789778000
basketball	Virginia	canon	37.530727	-77.401272	1318254485000
cycling	California	canon	33.964838	-116.583639	1266047676000
baseball	Maryland	canon	39.283747	-76.622095	1375291707000
football	SouthCarolina	sony	32.856274	-79.92088	1313001631000
running	Oregon	canon	45.325102	-122.572169	1316254220000
basketball	Massachusetts	sony	42.106666	-71.653834	1292704713000
football	Minnesota	canon	44.96498	-93.238595	1222523374000
soccer	Georgia	canon	33.522703	-82.188956	1363504526000
hockey	Virginia	canon	37.279747	-79.936094	1192916936000
hockey	Virginia	canon	38.879407	-77.110977	1303453052000
basketball	NewYork	other	42.648496	-73.754804	1293046041000
basketball	California	other	37.252159	-121.828197	1244919183000
hockey	California	canon	33.723933	-116.3058	1331336227000
baseball	Michigan	nikon	42.341853	-85.150501	1150229497000
baseball	NewYork	nikon	40.75712	-73.846052	1272012147000
hockey	Massachusetts	canon	42.541295	-71.084954	1261266401000
baseball	Michigan	nikon	42.341839	-85.150469	1369941016000
soccer	SouthCarolina	nikon	32.8709	-79.91984	1297482434000
baseball	Virginia	canon	37.279747	-79.936094	1200701075000
football	Virginia	canon	37.5451	-77.436382	1298758331000
golf	Oregon	canon	45.533781	-122.810212	1146572380000
running	NewHampshire	other	43.430717	-71.826853	1351941366000
football	California	canon	33.996817	-118.328762	1284049222000
running	Maryland	canon	39.254941	-76.711006	1333540217000
hockey	DistrictofColumbia	canon	38.898063	-77.020897	1164396986000
soccer	Michigan	canon	42.416944	-83.427723	1347116030000
cycling	Indiana	other	39.750225	-86.12955	1308179189000
golf	Massachusetts	canon	42.456663	-71.278309	1182368465000
running	Washington	canon	46.273264	-119.286318	1318077770000
baseball	Virginia	nikon	38.867127	-77.04555	1365626120000
baseball	Michigan	nikon	43.040447	-85.659574	1184784796000
hockey	Michigan	nikon	42.424335	-82.899848	1240073123000
basketball	California	other	36.581607	-121.952469	1232584411000
hockey	Massachusetts	canon	42.413001	-71.043605	1356898924000
baseball	California	canon	37.778448	-122.389926	1300190185000
running	NewYork	other	40.731632	-73.999185	1162330740000
soccer	Maryland	nikon	39.641784	-76.203746	1319294687000
hockey	California	canon	34.043983	-118.268938	1295120385000
baseball	Oklahoma	canon	36.139616	-95.924296	1241432264000
football	Mississippi	other	34.362107	-89.533628	1227877869000
baseball	Wisconsin	canon	43.028651	-87.971262	1239482618000
soccer	Massachusetts	canon	42.324253	-71.050837	1228038945000
golf	Texas	other	30.316783	-97.71376	1193960373000
running	California	canon	32.706927	-117.160477	1374356114000
football	Virginia	canon	37.219813	-80.418147	1189869098000
basketball	Maryland	canon	39.375117	-76.505071	1158518800000
basketball	Texas	other	29.573233	-95.352272	1283096903000
golf	Texas	other	27.774126	-97.391266	1287329560000
running	Georgia	nikon	33.76477	-84.388968	1377922461000
baseball	Maryland	canon	39.283555	-76.62217	1366752760000
cycling	Florida	canon	26.189562	-80.096082	1235287878000
baseball	NewYork	panasonic	43.019788	-78.887135	1309376398000
cycling	Maryland	canon	39.230258	-76.737613	1364038677000
football	Virginia	nikon	37.21935	-80.418033	1319292678000
hockey	Michigan	nikon	42.279015	-83.744552	1340277718000
baseball	Illinois	canon	42.036253	-87.856013	1254247757000
soccer	NewJersey	nikon	40.937401	-74.946777	1304781698000
golf	Minnesota	nikon	44.935185	-93.16874	1209815426000
basketball	Arkansas	nikon	35.297859	-93.706265	1320687461000
golf	California	canon	36.879547	-121.55503	1169571804000
baseball	Utah	canon	40.528431	-111.995122	1256398584000
baseball	Michigan	nikon	43.040447	-85.659574	1158264852000
football	Washington	nikon	47.628047	-122.662997	1288382883000
baseball	Massachusetts	canon	42.365884	-71.062113	1128373195000
golf	California	other	34.088827	-118.317542	1391429689000
baseball	Delaware	canon	39.758275	-75.488991	1216699053000
running	Ohio	nikon	39.112963	-82.761297	1218707137000
basketball	Washington	nikon	47.613833	-122.3195	1345244599000
baseball	Arkansas	other	35.774162	-91.626502	1392566335000
basketball	Arkansas	nikon	35.308138	-93.917634	1320343914000
running	Virginia	canon	38.301085	-77.458076	1215160679000
hockey	DistrictofColumbia	canon	38.898314	-77.021219	1295893765000
hockey	California	canon	33.723769	-116.305734	1394314068000
hockey	Oklahoma	canon	36.070938	-95.867675	1266700790000
soccer	Texas	canon	32.784603	-96.784111	1214693447000
