Sport	State	CaptureDevice	Lat	Lon	DateTaken
other	Texas	other	29.360885	-95.046297	1207950478000
soccer	California	nikon	37.340667	-121.989669	1218211585000
extreme	California	nikon	36.656301	-121.801643	1269678250000
baseball	Michigan	nikon	42.735669	-84.54621	1208464658000
other	Oregon	canon	44.61134	-123.298575	1177847930000
other	Illinois	other	41.872564	-87.791662	1352133044000
other	Mississippi	nikon	30.912499	-89.4595	1237294026000
other	Kansas	nikon	38.955037	-95.248573	1200849423000
other	Wisconsin	sony	44.431343	-89.399689	1177779971000
extreme	NewYork	canon	40.815307	-73.948822	1327150483000
extreme	California	canon	37.243243	-119.191875	1277309919000
baseball	California	canon	37.27507	-121.82608	1275124580000
cycling	Texas	canon	31.76145	-106.489105	1201446892000
baseball	Ohio	canon	39.977654	-83.008811	1215179230000
baseball	Pennsylvania	nikon	39.901102	-75.172147	1194734739000
other	Virginia	sony	37.561378	-77.468177	1189264986000
basketball	DistrictofColumbia	nikon	38.89793	-77.021033	1332702420000
other	NewYork	apple	40.741	-73.985333	1340286426000
extreme	California	panasonic	32.7629	-117.16655	1383994983000
other	Colorado	other	38.739444	-108.022738	1157348634000
extreme	California	apple	37.7145	-122.382834	1373094081000
hockey	California	canon	34.596052	-120.137171	1203658573000
other	NewHampshire	canon	44.292763	-71.228334	1314021859000
other	Indiana	canon	39.755405	-86.174654	1181321501000
basketball	Oklahoma	canon	36.434471	-97.8787	1267142441000
other	Minnesota	canon	44.950707	-93.157802	1295100252000
other	Virginia	other	37.53379	-77.447293	1183294727000
other	Nevada	other	36.133161	-115.151996	1352123212000
extreme	Texas	canon	33.196609	-97.084937	1390653777000
running	NewYork	canon	40.759244	-73.984937	1341439997000
football	SouthCarolina	sony	32.818832	-80.077661	1314300856000
football	Illinois	canon	41.76483	-87.805631	1212872150000
running	DistrictofColumbia	apple	38.888666	-77.006	1360419287000
hockey	Pennsylvania	nikon	39.906345	-75.171718	1239919079000
hockey	DistrictofColumbia	canon	38.898314	-77.021219	1290291899000
other	Ohio	nikon	40.002386	-82.990862	1373798210000
other	Virginia	nikon	38.885475	-77.077782	1240315976000
other	Florida	canon	25.760474	-80.47127	1136211201000
other	Michigan	canon	41.90579	-83.336319	1157748349000
other	California	canon	37.634965	-122.395162	1349607572000
baseball	Pennsylvania	canon	40.064999	-75.208674	1367153136000
extreme	NewYork	canon	40.817035	-73.948295	1327151291000
other	Oregon	apple	44.419166	-124.079666	1364328888000
football	Georgia	nikon	33.772585	-84.393271	1382187590000
football	Washington	canon	47.649806	-122.302122	1252191445000
running	Colorado	nikon	40.0145	-105.277334	1384006350000
other	California	canon	34.043227	-118.267242	1246946690000
golf	Georgia	canon	33.324647	-84.985427	1157381437000
other	California	other	37.769391	-122.511334	1386614663000
other	California	canon	37.409069	-122.202538	1351435001000
hockey	California	canon	33.988422	-118.475714	1339785071000
other	California	nikon	36.59303	-121.875457	1224281946000
other	Florida	nikon	25.586759	-80.373648	1347910609000
hockey	Oklahoma	canon	36.152611	-95.995026	1229801717000
other	Missouri	apple	39.052333	-94.486167	1369485876000
extreme	Pennsylvania	canon	39.953601	-75.156509	1338670690000
basketball	SouthCarolina	canon	32.856436	-79.916342	1329508259000
cycling	Arkansas	nikon	34.753072	-92.265672	1341150096000
other	California	apple	34.19	-118.602167	1378043464000
running	Washington	other	47.622989	-122.320833	1182599540000
lacrosse	Minnesota	canon	44.846711	-93.577294	1280588439000
basketball	SouthCarolina	canon	33.712479	-78.934514	1211569201000
other	Pennsylvania	nikon	40.286318	-76.669077	1225578707000
other	NewYork	canon	40.703252	-74.017333	1192293439000
other	Louisiana	panasonic	30.29408	-93.260564	1364294952000
extreme	Missouri	canon	39.042577	-94.587507	1340371966000
running	Maryland	canon	39.299726	-76.615862	1339861851000
football	Tennessee	canon	36.161542	-86.864304	1161181446000
other	Texas	nikon	27.838468	-97.043952	1313997170000
soccer	Arkansas	canon	34.811624	-92.465229	1314990234000
extreme	Texas	nikon	29.75293	-95.359375	1246097526000
other	NewYork	other	40.71981	-73.845183	1332520674000
other	Maryland	other	38.987301	-76.396951	1188640141000
extreme	Michigan	nikon	42.569548	-83.814761	1332020450000
extreme	California	apple	37.854666	-122.478834	1360417614000
basketball	Massachusetts	sony	42.130333	-71.538834	1299360166000
baseball	Wisconsin	apple	43.028167	-87.971167	1317474437000
hockey	Pennsylvania	nikon	41.239816	-77.004178	1350776754000
extreme	Alabama	other	32.92578	-85.851374	1153221606000
extreme	Colorado	canon	38.264433	-104.620528	1208965031000
other	Illinois	canon	42.187654	-87.856206	1238606159000
extreme	Michigan	other	42.865301	-83.588705	1190465363000
football	California	nikon	37.713701	-122.386193	1378657261000
other	Oklahoma	nikon	35.580716	-97.454112	1338640728000
golf	Oregon	canon	45.004781	-122.795133	1176645332000
other	NewJersey	canon	40.357573	-74.731729	1202050240000
other	Delaware	apple	39.737	-75.551167	1323528550000
basketball	Arkansas	other	35.77626	-91.6253	1328365254000
extreme	NewHampshire	other	43.430031	-71.824793	1360754414000
extreme	NorthCarolina	other	35.218977	-80.829205	1271188812000
extreme	Washington	panasonic	47.202423	-121.988013	1274559272000
extreme	Hawaii	other	21.666232	-158.050668	1296848883000
other	Tennessee	canon	36.515189	-82.250647	1345841084000
other	Massachusetts	nikon	42.572662	-71.602672	1350827398000
extreme	California	nikon	37.763206	-122.434371	1274991081000
other	California	canon	37.781569	-122.438507	1186759592000
running	Illinois	canon	41.970132	-88.013062	1285969688000
golf	Massachusetts	canon	42.224783	-71.713685	1310807536000
other	Georgia	canon	34.263405	-83.474468	1210443450000
other	Vermont	canon	42.839	-72.566	1312917926000
basketball	NewYork	nikon	40.750621	-73.993542	1165696960000
other	Utah	canon	40.667065	-111.639504	1314438073000
other	California	canon	33.866045	-118.256889	1260815115000
extreme	California	canon	37.414345	-122.04613	1063546979000
other	California	apple	37.782666	-122.4705	1335549600000
baseball	California	canon	33.72393	-116.305906	1394194280000
other	Florida	canon	24.551149	-81.800888	1295581995000
basketball	Nebraska	canon	42.23627	-97.01786	1331277146000
other	California	apple	38.7365	-121.252	1350310153000
other	Texas	canon	30.508589	-98.819103	1230815055000
extreme	Oklahoma	canon	36.152611	-95.995026	1264352389000
hockey	California	other	37.790251	-122.44812	1229692388000
running	NewHampshire	sony	42.88414	-71.275874	1390736092000
basketball	Arkansas	canon	34.812147	-92.465429	1320349135000
hockey	Illinois	canon	42.177509	-87.924141	1303058693000
other	NewYork	apple	40.728666	-73.987667	1261250339000
other	Pennsylvania	canon	39.955675	-75.1897	1143659698000
extreme	Georgia	other	34.493965	-83.997194	1348401096000
extreme	Montana	nikon	48.668036	-113.615101	1185551038000
golf	Pennsylvania	other	40.795488	-77.862339	1322555375000
